"","X","az","date","senat","anordnung","link","year","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","wechsel_at_all","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"4490",1966,"2 BvQ 50/12",2012-11-23,2,1,"http://www.bverfg.de/e/qk20121123_2bvq005012.html",2012,2,"Lübbe-Wolff","Gerhardt","Müller","Gerhardt","Hermanns","Müller","Kessal-Wulf Huber Lübbe-Wolff Landau Voßkuhle",1,"Hermanns","Lübbe-Wolff","Gerhardt Müller Kessal-Wulf",1,0,"3","Kessal-Wulf Huber Lübbe-Wolff Landau Voßkuhle",2,FALSE,1
"4537",1588,"2 BvR 1698/12",2014-08-12,2,0,"http://www.bverfg.de/e/rk20140812_2bvr169812.html",2014,2,"Landau","König","Maidowski","Landau","Kessal-Wulf","König","Maidowski Müller Huber Hermanns Voßkuhle",1,"Kessal-Wulf","Maidowski","Landau König Maidowski",2,0,"1","Maidowski Müller Huber Hermanns Voßkuhle",2,FALSE,0
"4538",1585,"2 BvR 1513/14",2014-08-18,2,0,"http://www.bverfg.de/e/rk20140818_2bvr151314.html",2014,2,"Landau","Müller","König","Landau","Kessal-Wulf","König","Maidowski Müller Huber Hermanns Voßkuhle",1,"Kessal-Wulf","Müller","Landau König Maidowski",2,0,"2","Maidowski Müller Huber Hermanns Voßkuhle",1,FALSE,1
"4569",1400,"2 BvR 869/15",2015-05-29,2,0,"http://www.bverfg.de/e/rk20150529_2bvr086915.html",2015,2,"Hermanns","Kessal-Wulf","König","Landau","Kessal-Wulf","König","Maidowski Müller Huber Hermanns Voßkuhle",1,"Landau","Hermanns","Kessal-Wulf König Maidowski",2,0,"4","Maidowski Müller Huber Hermanns Voßkuhle",2,FALSE,1
"4582",1325,"2 BvR 1180/15",2015-08-12,2,0,"http://www.bverfg.de/e/rk20150812_2bvr118015.html",2015,2,"Landau","König","Maidowski","Landau","Kessal-Wulf","König","Maidowski Müller Huber Hermanns Voßkuhle",1,"Kessal-Wulf","Maidowski","Landau König Maidowski",2,0,"1","Maidowski Müller Huber Hermanns Voßkuhle",2,FALSE,0
"4583",1310,"2 BvR 1554/15",2015-08-25,2,0,"http://www.bverfg.de/e/rk20150825_2bvr155415.html",2015,2,"Landau","Kessal-Wulf","Maidowski","Landau","Kessal-Wulf","König","Maidowski Müller Huber Hermanns Voßkuhle",1,"König","Maidowski","Landau Kessal-Wulf Maidowski",1,0,"1","Maidowski Müller Huber Hermanns Voßkuhle",1,FALSE,0
"4629",918,"2 BvQ 36/16",2016-08-10,2,1,"http://www.bverfg.de/e/qk20160810_2bvq003616.html",2016,2,"Müller","König","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"Huber Kessal-Wulf","Müller Langenfeld","König Langenfeld Müller",1,0,"1 2","Langenfeld Müller Voßkuhle",1,FALSE,0
"4634",909,"2 BvR 1714/16",2016-08-25,2,0,"http://www.bverfg.de/e/rk20160825_2bvr171416.html",2016,2,"Müller","Kessal-Wulf","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"Huber König","Müller Langenfeld","Kessal-Wulf Langenfeld Müller",0,1,"1 2","Langenfeld Müller Voßkuhle",0,FALSE,0
"4637",901,"2 BvR 890/16",2016-09-06,2,0,"http://www.bverfg.de/e/rk20160906_2bvr089016.html",2016,2,"König","Maidowski","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"Huber Kessal-Wulf","Maidowski Langenfeld","König Langenfeld Müller",1,0,"1 3","Langenfeld Müller Maidowski Voßkuhle",2,FALSE,1
"4658",788,"2 BvR 2023/16",2016-12-23,2,0,"http://www.bverfg.de/e/rk20161223_2bvr202316.html",2016,2,"Huber","Kessal-Wulf","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"König","Langenfeld","Huber Kessal-Wulf Langenfeld",0,1,"1","Langenfeld Müller Hermanns Maidowski Voßkuhle",0,FALSE,0
"4683",663,"2 BvQ 22/17",2017-05-05,2,1,"http://www.bverfg.de/e/qk20170505_2bvq002217.html",2017,2,"Hermanns","Kessal-Wulf","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"Huber König","Hermanns Langenfeld","Kessal-Wulf Langenfeld Müller",0,1,"1 3","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,FALSE,1
"4712",524,"2 BvR 1866/17",2017-09-07,2,0,"http://www.bverfg.de/e/rk20170907_2bvr186617.html",2017,2,"König","Maidowski","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"Huber Kessal-Wulf","Maidowski Langenfeld","König Langenfeld Müller",1,0,"1 3","Langenfeld Müller Maidowski Voßkuhle",2,FALSE,1
"4753",332,"2 BvQ 35/18",2018-04-27,2,1,"http://www.bverfg.de/e/qk20180427_2bvq003518.html",2018,2,"Kessal-Wulf","König","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"Huber","Langenfeld","Kessal-Wulf König Langenfeld",1,0,"1","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,FALSE,0
"4762",229,"2 BvR 1845/18",2018-08-24,2,0,"http://www.bverfg.de/e/rk20180824_2bvr184518.html",2018,2,"Huber","Müller","Kessal-Wulf","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"König","Müller","Huber Kessal-Wulf Langenfeld",0,1,"2","Langenfeld Müller Hermanns Maidowski Voßkuhle",0,FALSE,1
